,corp_code,ceo_nm
890,423812,김해인
891,425661,김해인
892,273907,이진구
893,283533,김현숙
894,445966,이용자
895,450001,김종철
896,449555,정영우
897,452443,지동규
898,366836,장대곤
899,444426,최판식
900,261665,민경철
901,363945,김덕원
902,414832,오문교
903,383161,이점실
904,163026,김인열
905,414610,박종구
906,415947,성필문
907,304605,이진철
908,414957,최은석
909,416229,김철윤
910,120243,진병우
911,411659,송기용
912,198314,정영완
913,413408,신득일
914,163965,이양우
915,163965,김태우
917,416724,송인선
918,218502,박인환
919,364175,강영남
920,417422,김범헌
921,417981,오형환
922,307046,정환
923,237349,이호성
924,414364,김광환
925,417626,전연택
926,414337,김기삼
927,418050,손홍근
928,415567,김선홍
929,247984,신현교
930,371494,문창구
931,358147,권기만
932,150554,이용수
933,305279,홍성철
934,386326,구본상
935,100753,박흥대
936,204703,권봉섭
937,417316,소영철
938,207959,박수정
939,411109,정홍기
940,417477,김동원
941,414054,최효식
942,303730,이수의
943,362229,정수성
944,317326,전우근
945,418430,Jacqueline Ann Cross
946,434447,장상기
947,434517,배재규
948,434526,장상기
949,433721,근야광부
950,434207,주양수
951,434562,김형찬
952,434571,김형찬
953,434580,조영찬
954,434599,최민재
955,434605,김중완
956,434614,백송호
957,435145,손인호
958,396448,구권림
959,430937,박종만
960,423034,Barry R Baterman
961,435127,한진규
962,434544,김형찬
963,434553,김영준
964,432050,이명덕
965,344843,원성일
966,371908,김광연
967,339090,조영호
968,337986,Philip de Toledo
969,206136,고영규
970,440411,김병태
971,422309,김상학
972,439257,박만규
973,439284,박정우
974,439424,임세미
975,435011,서순용
976,428525,서명종
977,427128,전치영
978,428677,김혜정
979,436560,장인덕
980,440697,성용택
981,439734,垣谷公仁(KAKITANI KIMIHITO)
982,327387,김용한
983,437611,이준호
984,321064,최동수
985,362557,조한원
986,224105,심관식
987,447654,위순명
988,453169,최기재
989,371388,신양호
990,144340,장국현
991,437204,조은경
992,443302,김선영
993,436463,홍준택
994,452692,박상현
995,441739,이미례
996,441669,김태은
997,436940,김정현
998,436959,유양숙
999,427526,이상헌
1000,264705,이용한
1001,387714,김선화
1002,300946,이현주
1003,402086,곽호준
1004,452461,김영수
1005,100948,송진수
1006,365572,강정훈
1007,400486,지광현
1008,417909,김일수
1009,153816,심봉용
1010,414586,강대연
1011,187637,김순무
1012,415035,정규수
1013,235864,지해중
1014,416043,김창우
1015,174280,박동화
1016,417352,정만갑
1017,238223,윤정규
1018,248530,정상건
1019,234740,차영현
1020,417565,이덕균
1021,192958,이병운
1022,387459,민경락
1023,415761,이춘기
1024,404011,최중현
1025,168553,백승윤
1026,309804,김현철
1027,408600,현영권
1028,418731,이종규
1029,418731,최태영
1031,363121,김규철외2인
1032,230577,최광복
1033,295671,윤명수
1034,418759,원장원
1035,211448,정해득
1036,406170,김상담
1037,301060,유창근
1038,242350,김창록
1039,134352,김승욱
1040,420569,오문식
1041,422141,이지호
1042,422178,박범
1043,419891,Mark Mobius
1044,419907,신대철
1045,310989,임영호
1046,420976,강원석
1047,421072,김두진
1048,423706,Ferdi Tngi
1049,384425,김흥중
1050,350297,Flemming Lindelov
1051,421124,김남국
1052,434632,최승혁
1053,434650,선형렬
1054,434669,김영준
1055,434678,김영준
1056,429658,양우진
1057,118831,홍성욱
1058,205483,정재규
1059,434492,이기장
1060,435622,김중완
1061,435631,김영환
1062,435695,김송우
1063,434845,윤주영
1064,434854,윤주영
1065,434863,서경석
1066,435020,표현용
1067,435154,이동근
1068,435163,김희병
1069,435172,조규상
1070,431583,김미순
1071,429199,박혜경
1072,428905,전형웅
1073,433110,조명화
1074,430849,이영애
1075,432032,김정현
1076,393432,서효진
1077,442853,송위규
1078,309442,이진구
1079,130055,예금보험공사
1080,441429,박혜영
1081,301219,안희목
1082,298890,염태순
1083,441942,이명규
1084,407355,하재욱
1085,240699,이한민
1086,443889,박제경
1087,403818,최송규
1088,360993,이상구
1089,365633,박도준
1090,452896,이기형
1091,413790,김영호
1092,452294,정민주
1093,192374,배재역
1094,181776,윤종구
1095,168191,구자연
1096,454007,여우석
1097,363963,임종성
1098,197412,이정윤
1099,233282,이규갑
1100,376417,신재호
1101,453512,천호식
1102,223744,다까미야도시야끼
1103,415664,임상호
1104,184515,박창환
1105,176622,김남온
1106,449306,김영걸
1107,416441,정상길
1108,383709,박재홍
1109,383709,신우섭
1111,446813,최정훈
1112,416098,김만호
1113,230489,조갑환
1114,301033,김진애
1115,420994,이규세
1116,422220,이영두
1117,116958,김재구
1118,116958,이재민
1120,418962,김종규
1121,374002,이상부
1122,245135,권행석
1123,421294,중광무웅
1124,421300,중광무웅
1125,421319,중광무웅
1126,422275,이동주
1127,422293,유난주
1128,102946,김낙천
1129,418795,배홍기
1130,312756,이도현
1131,420000,박휘준
1132,421346,W K Neilson
1133,288413,강정완
1134,204138,차임숙
1135,421382,윤준석
1136,338204,김종욱
1137,309929,이근모
1138,419138,최윤용
1139,420116,강신호
1140,435181,박근섭
1141,435190,박근오
1142,435215,이승문
1143,429214,김흥기
1144,372387,백영옥
1145,430061,정현성
1146,432546,오은주
1147,429603,David Snoddy
1148,328207,Mathew Willie 
1149,428710,윤혜진
1150,435233,고재철
1151,435242,김남엽
1152,435251,최창훈
1153,435260,강승구
1154,435288,김영수
1155,435303,김영수
1156,429746,이유재
