,기업코드,회차,등록일,수익(매출액),영업이익(손실),당기순이익(손실)
206,791209,제 9 기,20180612,"8,510,642,221","-3,137,237,898","-6,537,566,113"
207,406727,제 22 기,20180326,"13,607,354,350","-1,924,866,774","-6,225,833,134"
208,193009,제 35 기,20180330,,"7,379,171,172","3,481,220,846"
209,757816,제 26 기,20180402,,"-21,657,754,233","-37,348,482,024"
210,146436,제 34 기,20180409,,"795,796,209","10,729,685,183"
211,121534,제 40 기,20180330,,"10,452,914,394","5,903,108,321"
212,351092,제 31 기,20180330,,"9,682,664,957","1,086,553,501"
213,125822,제 43 기,20180402,"308,682,930,254","-5,058,882,909","-10,215,657,576"
214,121686,제 36 기,20180625,,"5,001,357,014","1,930,822,188"
215,111704,제 18 기,20180523,,,"739,144,216,539"
216,111218,제 44 기,20180402,"17,135,925,262","-10,193,055,914","-16,986,926,617"
217,216762,제 30 기,20180329,"638,243,088,827","29,725,642,659","27,895,356,384"
218,536541,제 20 기,20181206,"40,605,615,299","487,450,031","4,958,769,457"
219,296324,제 30 기,20180402,"12,621,097,591","-2,275,802,480","-30,776,941,031"
220,151605,제 39 기,20180330,"22,205,940,577","-219,723,977","-561,230,732"
221,197476,제 25 기,20180402,,"17,050,025,617","14,376,279,834"
222,141246,제 36 기,20180402,"841,221,412,527","25,637,095,605","13,111,088,666"
223,808022,제 16 기,20180402,,"-3,256,843,102","-14,881,751,606"
224,187415,제 46 기,20180618,"35,612,736,456","601,505,118","532,839,367"
225,208134,제 24 기,20180618,,"8,350,575,466","9,349,374,192"
226,151863,제 41 기,20180402,"32,477,961,009","-5,723,631,810","-15,533,377,459"
227,373021,제 25 기,20180402,"24,030,813,042","588,010,828","-1,990,795,928"
228,317487,제 23 기,20180330,"23,192,843,705","-9,006,102,127","-16,165,737,079"
229,353018,제 24 기,20180402,"41,311,639,085","-9,148,331,386","-15,808,890,849"
230,608699,제 11 기,20180402,"47,048,591,959","-10,649,887,696","-10,548,631,682"
231,549891,제 17 기,20200429,,"22,732,973,962","18,020,462,322"
232,660121,제 18 기,20180330,,,"786,537,889"
233,227333,제 28 기,20180402,"261,721,388,634","24,167,854,264","6,296,840,011"
234,173999,제 41 기,20180402,,"10,768,271,579","4,219,118,614"
235,133335,제 88 기,20180402,,,"9,112,888,560"
236,122579,제 63 기,20180402,,,"7,918,746,972"
237,367385,제 34 기,20170928,,"5,926,760,410","5,106,930,039"
238,125938,제 37 기,20180402,"112,996,351,005","-3,258,203,294","7,283,267,444"
239,174004,제 58 기,20180402,"251,413,205,813","-5,374,254,494","6,254,670,142"
240,157991,제 54 기,20180330,,,
241,246417,제 24 기,20180402,"376,174,749,563","50,493,017,221","18,364,192,616"
242,369569,제 18 기,20180619,,,"-2,421,634,251"
243,309503,제 19 기,20180814,"2,072,249,142,312","-208,940,620,193","-235,471,322,521"
244,152437,제 34 기,20180402,,"827,985,084","740,061,587"
245,148522,제 43 기,20180412,"140,054,579,563","653,033,749","860,418,605"
246,136341,제 50 기,20170928,"866,552,323,732","19,098,479,885","-4,394,748,617"
247,102751,제 62 기,20180330,,"6,007,783,845",
248,126478,제 44 기,20180323,,,"-337,606,491,056"
249,105299,제 39 기,20180330,,"39,563,505,618","21,584,688,373"
250,133876,제 40 기,20180402,,,
251,874195,제 12 기,20180710,,"5,242,413,141","4,853,980,441"
252,652423,제 10 기,20180328,"7,076,785,724","-1,531,487,799","-1,210,953,188"
253,101044,제 59 기,20180911,"30,859,683,366","-1,055,453,788","-7,562,309,841"
254,360595,제 17 기,20180328,,,
255,450339,제 27 기,20180330,,"-3,409,319,461","-13,965,431,053"
256,303217,제 26 기,20180330,"228,496,345,476","7,498,960,892","2,209,229,836"
257,299358,제 26 기,20180330,,"-1,095,233,677","-1,777,373,952"
258,164812,제 42 기,20180614,,,"36,314,035,984"
259,106669,제 63 기,20180402,"1,927,463,422,841","125,918,910,523","97,300,327,463"
260,201432,제 29 기,20170629,"72,073,712,493","2,022,619,024","1,096,279,727"
261,828789,제 8 기,20180405,,"-7,162,736,440",
262,157070,제 45 기,20180330,,"60,921,047,679","43,923,351,032"
263,102681,제 53 기,20180403,,,
264,114765,제 63 기,20180330,,"-6,890,945,262","-3,624,851,768"
265,138792,제 30 기,20180330,,,"150,094,863,697"
266,483735,제 16 기,20180402,"267,168,503,650","-243,174,356","-5,982,151,944"
267,261285,제 35 기,20180329,"21,055,675,649,246",,"-1,021,611,230,047"
268,105138,제 45 기,20180402,,,
269,120021,제 56 기,20180402,,,"952,754,000,000"
270,200275,제 25 기,20180409,,"2,164,046,007","4,537,489,911"
271,116268,제 61 기,20180402,,"955,133,215","-198,264,206"
272,138367,제 34 기,20180330,"11,924,641,044","1,085,629,518","-2,818,331,015"
273,412348,제 18 기,20180402,"131,823,199,841","10,259,428,445","7,973,227,550"
274,618401,제 17 기,20180330,"164,520,800,405","-18,323,858,963","-34,016,272,615"
275,325112,제 21 기,20180402,"145,728,441,179","32,198,447,333","25,376,983,126"
276,661157,제 14 기,20180402,,"-791,017,541","-4,191,331,948"
277,141529,제 47 기,20180330,,,
278,134565,제 38 기,20180330,"37,523,201,177","2,034,422,425","-388,879,438"
279,255105,제 21 기,20180402,"12,014,088,388","1,198,046,708","-1,012,398,594"
280,261009,제 24 기,20180402,"14,828,772,472","14,732,709","-3,061,247,330"
281,204262,제 28 기,20180402,"94,824,116,585","29,741,681,303","20,957,595,485"
282,167192,제 50 기,20180330,"212,026,557,132","20,061,912,296","37,984,229,289"
283,116301,제 46 기,20180611,"150,604,073,641",,"10,976,437,866"
284,117027,제 62 기,20180330,,"12,724,305,904","10,670,151,066"
285,390860,제 23 기,20180330,,"-10,988,290,629","-15,558,417,014"
286,295857,제 21 기,20180330,"278,087,301,422","10,734,615,544","7,683,583,758"
287,264787,제 39 기,20180416,"25,472,189,213","-5,016,681,806","-10,189,698,715"
288,1090471,제 3 기,20180330,,"-4,496,431,345","-7,263,792,958"
289,295370,제 22 기,20180702,,,"-5,560,925,296"
290,145598,제 54 기,20181031,,,
291,580199,제 18 기,20180622,"167,864,736,093","86,061,194,005","69,985,099,419"
292,287812,제 21 기,20180907,"32,528,833,160","5,467,356,543","-8,323,705,411"
293,155948,제 44 기,20180402,"132,917,950,836","43,844,429,197","44,221,262,377"
294,405959,제 22 기,20180330,"83,505,467,528","3,102,922,321","-3,919,717,205"
295,124151,제 51 기,20180615,"190,695,746,173","-2,347,554,641","-10,076,443,567"
296,231372,제 47 기,20180615,,"5,038,511,916","3,352,749,787"
297,562360,제 14 기,20180330,"118,507,794,123","4,121,279,030","-2,306,222,506"
298,186939,제 47 기,20181228,,"2,677,825,240","437,416,536"
299,228350,제 30 기,20180402,"160,180,740,084","3,135,879,610","-1,866,465,154"
300,409788,제 20 기,20180330,,"19,628,996,848","8,502,799,501"
301,113234,제 62 기,20180402,"1,153,582,884,000","7,373,234,000","7,451,613,000"
302,140858,제 46 기,20180629,"116,841,450,783","-1,967,962,149","-20,056,697,449"
303,158307,제 31 기,20180515,,,
304,105040,제 41 기,20180402,"43,807,311,506","-1,509,935,704","-3,699,509,866"
305,442835,제 18 기,20180330,"27,205,729,328","-15,564,603,893","-34,788,493,511"
306,125974,제 64 기,20180402,"272,149,827,955","-15,882,524,516","-23,139,491,323"
307,356927,제 22 기,20180330,"18,617,247,168","1,171,786,120","483,582,633"
308,141608,제 38 기,20180330,"47,621,914,764","4,243,921,002","2,084,376,872"
309,206686,제 40 기,20180420,,"-6,478,686,189","-3,371,261,457"
310,819073,제 11 기,20180330,"35,094,262,052","10,094,526,655","8,161,882,493"
311,442561,제 18 기,20180402,,"-4,345,944,457","-2,084,797,443"
312,147082,제 34 기,20180330,"116,281,302,068","-17,049,650,745","-31,864,221,031"
313,155382,제 32 기,20180402,"19,432,665,701","-3,036,157,110","-37,805,668,187"
314,426068,제 17 기,20180402,"36,484,877,056","-1,396,778,282","33,707,586,063"
315,127042,제 57 기,20180402,,,"24,441,219,723"
316,140052,제 41 기,20180329,,,"27,368,219,200"
317,101549,제 42 기,20180608,,"31,236,533,630","20,164,400,105"
318,855093,제 7 기,20180327,"694,134,560,423","25,559,830,178","34,762,369,624"
319,177870,제 41 기,20180402,"30,923,027,291","-8,915,691,442","-11,282,110,412"
320,160302,제 50 기,20180525,,,"20,565,786,801"
321,113492,제 53 기,20180402,,"-26,455,445,977","-23,131,214,361"
322,356802,제 26 기,20180330,,"556,425,294","-16,884,517,860"
323,318662,제 22 기,20180402,,"341,135,195","-21,515,321,642"
324,1046203,제 4 기,20180330,,"-619,805,044","-2,486,814,133"
325,139153,제 34 기,20180402,"645,605,096,967","-291,948,629","-274,463,246"
326,852087,제 8 기,20180605,"12,520,488,308","-237,673,335","308,326,900"
327,210856,제 26 기,20180330,"111,953,909,777","278,525,281","-929,173,806"
328,957568,제 11 기,20180402,"47,652,516,149","1,001,699,079","-14,327,106,856"
329,346407,제 21 기,20180402,"11,295,569,933","368,745,463","-18,947,858,363"
330,155373,제 43 기,20171128,"83,101,331,784","3,152,038,124","3,023,948,904"
331,165060,제 40 기,20180330,,,"23,797,168,952"
332,261887,제 20 기,20180330,,,"-13,738,178,404"
333,166519,제 41 기,20180330,"195,264,239,363","12,147,471,620","9,459,118,963"
334,1205842,제 1 기,20180402,,"113,072,279,000","67,581,704,000"
335,144243,제 34 기,20180402,,"15,785,648,424","13,465,197,973"
336,145880,제 53 기,20180402,,,"726,163,342,504"
337,162461,제 44 기,20180814,,,
338,1096341,제 3 기,20180607,,"-3,731,660,334","-3,074,433,915"
339,194947,제 28 기,20180402,,,
340,122348,제 56 기,20171229,"107,612,565,995","2,913,889,600","7,004,564,131"
341,479787,제 23 기,20181029,"24,305,555,594","526,560,611","227,513,267"
342,141389,제 35 기,20180330,"65,865,904,916","7,471,788,179","9,153,760,586"
343,495086,제 18 기,20180329,"54,863,316,983","-10,712,774,454","-2,215,923,798"
344,608802,제 19 기,20190222,"29,704,738,981","-7,885,900,034","-15,968,287,891"
345,274933,제 23 기,20180402,"1,185,685,418,865","30,783,509,516","21,055,756,587"
346,249441,제 21 기,20180402,"21,263,186,706","-1,141,416,679","-7,130,364,966"
347,105271,제 60 기,20180330,"3,426,493,950,897","276,252,492,275","-27,029,661,398"
348,367482,제 20 기,20180330,,"2,359,712,020","-1,883,700,236"
349,135962,제 51 기,20180608,,,"21,423,400,372"
350,372882,제 17 기,20180402,,"9,007,352,666","8,266,159,420"
351,1031502,제 4 기,20180712,"11,299,144,532","634,256,710","-16,603,396,131"
352,125743,제 52 기,20180330,,"30,760,307,404","19,677,792,982"
353,232089,제 36 기,20180330,"12,395,739,710","-2,229,132,128","-5,526,689,819"
354,103626,제 43 기,20180402,"223,778,151,873","3,436,038,864","2,464,887,867"
355,138747,제 39 기,20170928,"101,623,709,731","5,810,796,439","3,894,284,967"
356,800145,제 8 기,20180402,"118,551,850,036","-5,131,340,727","-8,557,289,579"
357,226352,제 24 기,20180402,"145,612,731,812","3,740,099,623","-9,184,345,042"
358,260611,제 44 기,20180330,"51,224,612,716","-1,022,358,210","-1,273,879,501"
359,820389,제 14 기,20180330,,"-5,986,463,051","-9,115,399,768"
