,기업코드,회차,등록일,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금(결손금),자본총계
114,169048,제 56 기,20180830,"35,772,217,974 ","39,153,269,057 ","74,925,487,031 ","9,695,680,834 ","2,383,701,197 ","12,079,382,031 ","9,590,550,000 ","-12,902,432,333 ","62,846,105,000 "
115,104698,제 68 기,20180330,"170,994,450,798 ","876,722,684,709 ","1,047,717,135,507 ","491,416,772,402 ","76,801,063,947 ","568,217,836,349 ","394,091,500,000 ","110,944,324,553 ","479,499,299,158 "
116,363510,제 19 기,20180402,"25,379,560,604 ","38,426,629,240 ","63,806,189,844 ","31,502,884,772 ","9,622,355,888 ","41,125,240,660 ","20,661,288,000 ","-29,649,107,802 ","22,680,949,184 "
117,100939,제 66 기,20181231,"194,534,019,874 ","212,098,304,072 ","406,632,323,946 ","55,319,514,631 ","8,855,556,418 ","64,175,071,049 ",,,"342,457,252,897 "
118,753643,제 9 기,20180608,"33,775,124,018 ","22,540,491,098 ","56,315,615,116 ","41,946,535,646 ","3,832,738,107 ","45,779,273,753 ","4,495,772,500 ","-61,471,731,207 ","10,536,341,363 "
119,159810,제 48 기,20180330,"227,888,040,449 ","234,280,649,153 ","462,168,689,602 ","178,730,496,285 ","19,849,102,890 ","198,579,599,175 ","20,000,000,000 ","170,721,613,980 ","263,589,090,427 "
120,118804,제 45 기,20180330,"213,662,821,310 ","353,598,240,212 ","567,261,061,522 ","259,967,202,416 ","49,527,186,436 ","309,494,388,852 ","25,707,247,000 ",,"257,766,672,670 "
121,159698,제 33 기,20180329,"617,914,660,034 ","5,103,676,248,589 ","5,721,590,908,623 ","977,673,870,522 ","2,914,184,485,245 ","3,891,858,355,767 ","57,893,720,000 ","1,658,220,879,186 ","1,829,732,552,856 "
122,165680,제 45 기,20180402,,,"2,261,641,205,033 ",,,"1,474,908,287,137 ","200,000,000,000 ",,"786,732,917,896 "
123,983040,제 5 기,20180402,"209,769,436,712 ","1,715,457,223,034 ","1,925,226,659,746 ","427,876,614,785 ","1,232,179,052 ","429,108,793,837 ","149,268,060,000 ","143,633,752,132 ","1,496,117,865,909 "
124,923792,제 17 기,20180330,"36,803,625,161 ","39,200,338,368 ","76,003,963,529 ","5,226,469,967 ","25,016,731,477 ","30,243,201,444 ","10,115,520,000 ",,"45,760,762,085 "
125,121543,제 45 기,20190225,"107,185,533,496 ","558,991,895,992 ","666,177,429,488 ","128,374,441,237 ","4,230,398,524 ","132,604,839,761 ","5,700,000,000 ",,"533,572,589,727 "
126,441243,제 16 기,20170928,"71,866,610,353 ","59,859,723,999 ","131,726,334,352 ","33,334,877,136 ","18,884,206,632 ","52,219,083,768 ","9,233,626,500 ","43,246,381,983 ","79,507,250,584 "
127,127954,제 30 기,20180330,"463,494,399,702 ","418,918,707,477 ","882,413,107,179 ","460,283,979,198 ","225,775,950,779 ","686,059,929,977 ","11,871,586,000 ",,"196,353,177,202 "
128,145446,제 46 기,20180330,"92,448,137,703 ","183,945,599,226 ","276,393,736,929 ","138,656,381,973 ","57,018,903,032 ","195,675,285,005 ","46,867,625,000 ","36,985,843,665 ","80,718,451,924 "
