,기업코드,회차,등록일,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
252,652423,제 10 기,20180328,-426438952 ,-4308647888 ,4551068879 
253,101044,제 59 기,20180911,-7984071913 ,-34088722832 ,40590140196 
254,360595,제 17 기,20180328,,,
255,450339,제 27 기,20180330,,-51294379642 ,36136915257 
256,303217,제 26 기,20180330,-13772749710 ,-11085564896 ,10659322203 
257,299358,제 26 기,20180330,669635616 ,452631788 ,2651500 
258,164812,제 42 기,20180614,88324655547 ,17229199067 ,-110766954951 
259,106669,제 63 기,20180402,122380033292 ,-34489293043 ,-87001259200 
260,201432,제 29 기,20170629,8628389581 ,-2120667514 ,-3777187898 
261,828789,제 8 기,20180405,,,
262,157070,제 45 기,20180330,65187657129 ,-70000786385 ,-7343670802 
263,102681,제 53 기,20180403,35535002763 ,-68422193670 ,49653866129 
264,114765,제 63 기,20180330,10873095400 ,-20238730340 ,10360942985 
265,138792,제 30 기,20180330,627208031214 ,-596281699092 ,-30545527763 
266,483735,제 16 기,20180402,-26708812018 ,-926140993 ,
267,261285,제 35 기,20180329,,,
268,105138,제 45 기,20180402,,,
269,120021,제 56 기,20180402,,,
270,200275,제 25 기,20180409,21288189984 ,4715884397 ,-30578998757 
271,116268,제 61 기,20180402,1798768554 ,557111907 ,-987672006 
272,138367,제 34 기,20180330,-2190864407 ,-2326483927 ,2800000000 
273,412348,제 18 기,20180402,27903654783 ,-27874911842 ,9811736313 
274,618401,제 17 기,20180330,-12839411889 ,-4002669410 ,19533301793 
275,325112,제 21 기,20180402,9758398363 ,-1712215140 ,-6756037370 
276,661157,제 14 기,20180402,1412681535 ,6690176515 ,-416000000 
277,141529,제 47 기,20180330,89852337567 ,-67177006965 ,-43869738681 
278,134565,제 38 기,20180330,26165109000 ,1665700886 ,-24207527505 
279,255105,제 21 기,20180402,-878680044 ,-10288331432 ,13916055873 
280,261009,제 24 기,20180402,-687691566 ,-2780837515 ,3330200722 
281,204262,제 28 기,20180402,29984355308 ,-81745780989 ,55148186816 
282,167192,제 50 기,20180330,-16381604940 ,36420059834 ,-17099833632 
283,116301,제 46 기,20180611,,,
284,117027,제 62 기,20180330,46319131237 ,-48772295848 ,1795433199 
285,390860,제 23 기,20180330,-11528010853 ,29840649363 ,-17952633025 
286,295857,제 21 기,20180330,6069577566 ,-46383372148 ,46581097481 
287,264787,제 39 기,20180416,-2814551192 ,1491048961 ,-20274430 
288,1090471,제 3 기,20180330,,,
289,295370,제 22 기,20180702,-4434590577 ,-24977266607 ,16716176398 
290,145598,제 54 기,20181031,,,
291,580199,제 18 기,20180622,56072121906 ,-42226625823 ,-7372814171 
292,287812,제 21 기,20180907,-11235966974 ,-10841423791 ,22797994760 
293,155948,제 44 기,20180402,34012911116 ,-53505576819 ,18771218140 
294,405959,제 22 기,20180330,-992003809 ,-7235424652 ,8658938360 
295,124151,제 51 기,20180615,-303373639 ,-12079591601 ,11830016257 
296,231372,제 47 기,20180615,6666014036 ,-3241348545 ,29758289760 
297,562360,제 14 기,20180330,2308829722 ,-22000733094 ,10074688485 
298,186939,제 47 기,20181228,-1487958041 ,5345315069 ,-4190273597 
299,228350,제 30 기,20180402,6720667688 ,-6478133571 ,-1443535343 
300,409788,제 20 기,20180330,25868910864 ,-17366936456 ,-7787293528 
301,113234,제 62 기,20180402,2409098000 ,-18072914000 ,-11239401000 
302,140858,제 46 기,20180629,-4453364789 ,-8339246023 ,11759407164 
303,158307,제 31 기,20180515,251737320564 ,-52820327382 ,-27497271082 
304,105040,제 41 기,20180402,1063947372 ,-2846320519 ,1528223824 
305,442835,제 18 기,20180330,-10352965203 ,2528420077 ,4096648840 
306,125974,제 64 기,20180402,-28809077853 ,-35870959724 ,55695096183 
307,356927,제 22 기,20180330,-38345622 ,-3755081247 ,19114315775 
