,기업코드,회차,등록일,수익(매출액),영업이익(손실),당기순이익(손실)
255,450339,제 27 기,20180330,,-3409319461 ,-13965431053 
256,303217,제 26 기,20180330,228496345476 ,7498960892 ,2209229836 
257,299358,제 26 기,20180330,,-1095233677 ,-1777373952 
258,164812,제 42 기,20180614,,,36314035984 
259,106669,제 63 기,20180402,1927463422841 ,125918910523 ,97300327463 
260,201432,제 29 기,20170629,72073712493 ,2022619024 ,1096279727 
261,828789,제 8 기,20180405,,-7162736440 ,
262,157070,제 45 기,20180330,,60921047679 ,43923351032 
263,102681,제 53 기,20180403,,,
264,114765,제 63 기,20180330,,-6890945262 ,-3624851768 
265,138792,제 30 기,20180330,,,150094863697 
266,483735,제 16 기,20180402,267168503650 ,-243174356 ,-5982151944 
267,261285,제 35 기,20180329,21055675649246 ,,-1021611230047 
268,105138,제 45 기,20180402,,,
269,120021,제 56 기,20180402,,,952754000000 
270,200275,제 25 기,20180409,,2164046007 ,4537489911 
271,116268,제 61 기,20180402,,955133215 ,-198264206 
272,138367,제 34 기,20180330,11924641044 ,1085629518 ,-2818331015 
273,412348,제 18 기,20180402,131823199841 ,10259428445 ,7973227550 
274,618401,제 17 기,20180330,164520800405 ,-18323858963 ,-34016272615 
275,325112,제 21 기,20180402,145728441179 ,32198447333 ,25376983126 
276,661157,제 14 기,20180402,,-791017541 ,-4191331948 
277,141529,제 47 기,20180330,,,
278,134565,제 38 기,20180330,37523201177 ,2034422425 ,-388879438 
279,255105,제 21 기,20180402,12014088388 ,1198046708 ,-1012398594 
280,261009,제 24 기,20180402,14828772472 ,14732709 ,-3061247330 
281,204262,제 28 기,20180402,94824116585 ,29741681303 ,20957595485 
282,167192,제 50 기,20180330,212026557132 ,20061912296 ,37984229289 
283,116301,제 46 기,20180611,150604073641 ,,10976437866 
284,117027,제 62 기,20180330,,12724305904 ,10670151066 
285,390860,제 23 기,20180330,,-10988290629 ,-15558417014 
286,295857,제 21 기,20180330,278087301422 ,10734615544 ,7683583758 
287,264787,제 39 기,20180416,25472189213 ,-5016681806 ,-10189698715 
288,1090471,제 3 기,20180330,,-4496431345 ,-7263792958 
289,295370,제 22 기,20180702,,,-5560925296 
290,145598,제 54 기,20181031,,,
291,580199,제 18 기,20180622,167864736093 ,86061194005 ,69985099419 
292,287812,제 21 기,20180907,32528833160 ,5467356543 ,-8323705411 
293,155948,제 44 기,20180402,132917950836 ,43844429197 ,44221262377 
294,405959,제 22 기,20180330,83505467528 ,3102922321 ,-3919717205 
295,124151,제 51 기,20180615,190695746173 ,-2347554641 ,-10076443567 
296,231372,제 47 기,20180615,,5038511916 ,3352749787 
297,562360,제 14 기,20180330,118507794123 ,4121279030 ,-2306222506 
298,186939,제 47 기,20181228,,2677825240 ,437416536 
299,228350,제 30 기,20180402,160180740084 ,3135879610 ,-1866465154 
300,409788,제 20 기,20180330,,19628996848 ,8502799501 
301,113234,제 62 기,20180402,1153582884000 ,7373234000 ,7451613000 
302,140858,제 46 기,20180629,116841450783 ,-1967962149 ,-20056697449 
303,158307,제 31 기,20180515,,,
304,105040,제 41 기,20180402,43807311506 ,-1509935704 ,-3699509866 
305,442835,제 18 기,20180330,27205729328 ,-15564603893 ,-34788493511 
306,125974,제 64 기,20180402,272149827955 ,-15882524516 ,-23139491323 
307,356927,제 22 기,20180330,18617247168 ,1171786120 ,483582633 
308,141608,제 38 기,20180330,47621914764 ,4243921002 ,2084376872 
309,206686,제 40 기,20180420,,-6478686189 ,-3371261457 
310,819073,제 11 기,20180330,35094262052 ,10094526655 ,8161882493 
311,442561,제 18 기,20180402,,-4345944457 ,-2084797443 
312,147082,제 34 기,20180330,116281302068 ,-17049650745 ,-31864221031 
313,155382,제 32 기,20180402,19432665701 ,-3036157110 ,-37805668187 
314,426068,제 17 기,20180402,36484877056 ,-1396778282 ,33707586063 
315,127042,제 57 기,20180402,,,24441219723 
316,140052,제 41 기,20180329,,,27368219200 
317,101549,제 42 기,20180608,,31236533630 ,20164400105 
318,855093,제 7 기,20180327,694134560423 ,25559830178 ,34762369624 
319,177870,제 41 기,20180402,30923027291 ,-8915691442 ,-11282110412 
320,160302,제 50 기,20180525,,,20565786801 
321,113492,제 53 기,20180402,,-26455445977 ,-23131214361 
322,356802,제 26 기,20180330,,556425294 ,-16884517860 
323,318662,제 22 기,20180402,,341135195 ,-21515321642 
324,1046203,제 4 기,20180330,,-619805044 ,-2486814133 
325,139153,제 34 기,20180402,645605096967 ,-291948629 ,-274463246 
326,852087,제 8 기,20180605,12520488308 ,-237673335 ,308326900 
327,210856,제 26 기,20180330,111953909777 ,278525281 ,-929173806 
328,957568,제 11 기,20180402,47652516149 ,1001699079 ,-14327106856 
329,346407,제 21 기,20180402,11295569933 ,368745463 ,-18947858363 
330,155373,제 43 기,20171128,83101331784 ,3152038124 ,3023948904 
331,165060,제 40 기,20180330,,,23797168952 
332,261887,제 20 기,20180330,,,-13738178404 
333,166519,제 41 기,20180330,195264239363 ,12147471620 ,9459118963 
334,1205842,제 1 기,20180402,,113072279000 ,67581704000 
335,144243,제 34 기,20180402,,15785648424 ,13465197973 
336,145880,제 53 기,20180402,,,726163342504 
337,162461,제 44 기,20180814,,,
338,1096341,제 3 기,20180607,,-3731660334 ,-3074433915 
339,194947,제 28 기,20180402,,,
340,122348,제 56 기,20171229,107612565995 ,2913889600 ,7004564131 
341,479787,제 23 기,20181029,24305555594 ,526560611 ,227513267 
342,141389,제 35 기,20180330,65865904916 ,7471788179 ,9153760586 
343,495086,제 18 기,20180329,54863316983 ,-10712774454 ,-2215923798 
344,608802,제 19 기,20190222,29704738981 ,-7885900034 ,-15968287891 
345,274933,제 23 기,20180402,1185685418865 ,30783509516 ,21055756587 
346,249441,제 21 기,20180402,21263186706 ,-1141416679 ,-7130364966 
347,105271,제 60 기,20180330,3426493950897 ,276252492275 ,-27029661398 
348,367482,제 20 기,20180330,,2359712020 ,-1883700236 
349,135962,제 51 기,20180608,,,21423400372 
350,372882,제 17 기,20180402,,9007352666 ,8266159420 
351,1031502,제 4 기,20180712,11299144532 ,634256710 ,-16603396131 
352,125743,제 52 기,20180330,,30760307404 ,19677792982 
353,232089,제 36 기,20180330,12395739710 ,-2229132128 ,-5526689819 
354,103626,제 43 기,20180402,223778151873 ,3436038864 ,2464887867 
355,138747,제 39 기,20170928,101623709731 ,5810796439 ,3894284967 
356,800145,제 8 기,20180402,118551850036 ,-5131340727 ,-8557289579 
357,226352,제 24 기,20180402,145612731812 ,3740099623 ,-9184345042 
358,260611,제 44 기,20180330,51224612716 ,-1022358210 ,-1273879501 
359,820389,제 14 기,20180330,,-5986463051 ,-9115399768 
360,666204,제 18 기,20180719,,-3834204653 ,-5258970982 
361,249502,제 24 기,20180402,12802035454 ,-3690116081 ,-8062623314 
362,349732,제 20 기,20180402,,,-25901832664 
363,120924,제 49 기,20180330,,,184515994316 
364,1064069,제 3 기,20180402,30535280156 ,4534858173 ,549102084 
365,155531,제 49 기,20180330,,,13653959701 
366,684714,제 10 기,20180330,,187616056340 ,148534131139 
367,155692,제 52 기,20180402,,,-4446289465 
368,605124,제 16 기,20180322,,-1407560256 ,-5720131847 
369,131896,제 69 기,20180330,,,12832331953 
370,449379,제 18 기,20180402,933119638097 ,12408585638 ,5420387776 
371,215976,제 51 기,20180330,,-162551593 ,-12901317994 
372,305570,제 27 기,20180330,14372479133 ,-1217812525 ,-1335012183 
373,365758,제 22 기,20180322,,6001154746 ,5528738818 
374,923826,제 12 기,20191121,,-7865733942 ,-21002019710 
375,252135,제 23 기,20180329,272535492516 ,41174577284 ,40533963171 
376,127167,제 59 기,20180330,,,
377,153524,제 42 기,20180402,,3167640185 ,437215181 
378,648721,제 10 기,20180314,,19201910760 ,4581776727 
379,106623,제 42 기,20180330,,-796183831 ,-72596242784 
380,128661,제 28 기,20180402,,,26257075167 
381,266934,제 23 기,20180330,,-16968469096 ,-21366178121 
382,143907,제 41 기,20180330,,9019954803 ,6712753996 
383,409681,제 17 기,20180402,,,981493114 
384,244561,제 21 기,20180402,,6033339216 ,-54754214022 
385,554024,제 18 기,20180402,,,132982984179 
386,496225,제 18 기,20180402,,-1464330672 ,-2110772416 
387,144395,제 43 기,20180330,,33611089325 ,122250562304 
388,128315,제 37 기,20180402,,831547665 ,9694311580 
389,238782,제 26 기,20180402,151156994583 ,6083163900 ,7967928920 
390,128412,제 50 기,20180402,245271927859 ,46946540180 ,35795824754 
391,475985,제 20 기,20180622,,-3155074998 ,-8531533478 
392,352718,제 20 기,20191114,26193983315 ,-2954362248 ,-4357054012 
393,787376,제 9 기,20180402,,19887161471 ,14849796872 
394,623184,제 21 기,20190118,27627324732 ,-763184174 ,-3178682411 
395,267881,제 49 기,20180621,75383740903 ,-6527048357 ,-9526233556 
396,513948,제 15 기,20180402,98107431450 ,543208831 ,-2850890367 
397,129679,제 49 기,20180618,,,
398,138297,제 42 기,20180330,,30170000000 ,336179000000 
399,245898,제 23 기,20190628,15047067745 ,-971911293 ,-5093386265 
400,108038,제 54 기,20180402,,14386034261 ,32308566009 
401,158112,제 61 기,20180402,,-6904540750 ,-5421028777 
402,977696,제 7 기,20190318,,609103857 ,-68735739450 
403,110431,제 37 기,20190321,70485280203 ,-812488137 ,-3454622888 
404,132804,제 52 기,20180402,615327599084 ,32009183633 ,12210011071 
405,1042359,제 4 기,20180330,2413832714 ,-4247967243 ,-4236772563 
406,126362,제 48 기,20180330,,16327287077 ,99537445309 
407,219486,제 21 기,20180402,320149548303 ,15450270471 ,9918387710 
408,369657,제 22 기,20180330,141510912868 ,49156999398 ,40362177923 
409,140566,제 59 기,20180329,82297637660 ,445739750 ,916529837 
410,120076,제 65 기,20180330,,,62784492572 
411,178790,제 31 기,20180402,360305711917 ,15985865238 ,1397817744 
412,1008762,제 11 기,20180402,,-10645016349 ,-8419009286 
413,372873,제 17 기,20180402,,,8336872023 
414,476498,제 20 기,20180402,491936462894 ,192203855801 ,140401885003 
415,258421,제 24 기,20180402,29568089766 ,-848553906 ,-2085389786 
416,172079,제 42 기,20180330,7394730739 ,-2646731789 ,-6548617980 
417,165583,제 34 기,20180402,,87006745347 ,63939713575 
418,653194,제 20 기,20180814,11324490649 ,-1449976981 ,-2472544874 
419,441304,제 17 기,20180402,,,
420,118451,제 58 기,20180402,107580544787 ,1059483800 ,1371232839 
421,125646,제 33 기,20180402,305094737592 ,44254684372 ,35123305087 
422,119140,제 46 기,20180330,,,
423,1261893,제 1 기,20180402,,,
424,926522,제 17 기,20180330,,,-5998224403 
425,494218,제 19 기,20180402,79786450211 ,-2216894221 ,-10696913594 
426,829380,제 8 기,20180330,135007815565 ,6013638155 ,5352111247 
427,599106,제 11 기,20180402,,221864989 ,218914801 
428,606293,제 16 기,20180402,,6644055501 ,4960967683 
429,654175,제 14 기,20180605,,6302635444 ,5509395828 
430,1159853,제 2 기,20180622,,,
431,351807,제 40 기,20180330,,-311235101 ,6827052128 
432,138598,제 45 기,20180330,,9482341107 ,9209799692 
433,138516,제 45 기,20180328,176293774093 ,2803659467 ,-1214165947 
434,111111,제 45 기,20180615,172877204515 ,12949438457 ,9876011196 
435,799177,제 9 기,20180330,,,
436,152039,제 64 기,20180402,,526716652 ,3780489995 
437,166175,제 30 기,20180323,205306466857 ,10239635288 ,4014068101 
438,409672,제 18 기,20180330,,1302708737 ,-12415544321 
439,185505,제 29 기,20180402,27986546028 ,1109458726 ,789208871 
440,230425,제 31 기,20180330,,2944760726 ,-799389350 
441,423690,제 16 기,20180402,,,
442,472890,제 14 기,20180330,68756029303 ,2672777037 ,1721370075 
443,240857,제 32 기,20180402,55114200922 ,8051050795 ,6283739570 
444,265005,제 21 기,20180402,95095316747 ,2275339465 ,1208402733 
445,103592,제 45 기,20180330,,,
446,171867,제 31 기,20180402,141249251955 ,6275263190 ,2563395425 
447,267979,제 46 기,20180328,109759550719 ,6483186524 ,4033548007 
448,364847,제 19 기,20180329,,3130535821 ,4208616491 
449,365624,제 19 기,20180402,,-2792735421 ,-2166770360 
450,138242,제 56 기,20180402,,-64246391747 ,-70944800917 
451,260879,제 19 기,20180403,,6218470649 ,4180901137 
452,158015,제 28 기,20180330,151466095446 ,5090965024 ,3883073629 
